date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
3/27/2018,11,0,0,11.6,3,71,3:55 PM,5:37 AM,7:35 AM,8:06 PM,-3,4,5,4,12,24,55,0,1026,11,10,169,8,83706,0
3/28/2018,12,3,0,11.6,3,78,5:06 PM,6:17 AM,7:34 AM,8:07 PM,0,5,7,5,24,18,62,0,1023,12,10,322,15,83706,0
3/29/2018,12,2,0,11.6,3,85,6:17 PM,6:53 AM,7:32 AM,8:08 PM,-2,5,7,5,18,16,53,0,1023,12,10,282,11,83706,0
3/30/2018,16,5,0,7.7,3,93,7:27 PM,7:25 AM,7:30 AM,8:09 PM,-1,9,10,9,13,43,50,0,1019,16,10,208,8,83706,0
3/31/2018,14,6,0,7.7,2,96,8:35 PM,7:55 AM,7:28 AM,8:10 PM,1,8,10,8,15,77,57,0,1017,14,10,322,10,83706,0
4/1/2018,13,3,0,10.3,3,89,9:42 PM,8:25 AM,7:26 AM,8:12 PM,1,8,9,8,10,35,58,0.2,1013,13,9,278,7,83706,1
4/2/2018,10,1,0.1,11.6,2,81,10:46 PM,8:55 AM,7:25 AM,8:13 PM,-5,0,5,0,34,39,51,0.9,1012,10,10,307,25,83706,1
4/3/2018,10,-1,0,9,2,74,11:49 PM,9:27 AM,7:23 AM,8:14 PM,-9,2,4,2,18,35,38,0,1021,10,10,112,13,83706,0
4/4/2018,14,5,0,11.6,3,66,No moonrise,10:02 AM,7:21 AM,8:15 PM,-2,8,9,8,14,53,45,0.1,1016,14,10,165,8,83706,1
4/5/2018,14,7,0,7.8,4,59,12:49 AM,10:39 AM,7:19 AM,8:16 PM,3,10,10,10,10,56,63,0.5,1015,14,9,145,5,83706,1
4/6/2018,14,8,0,11.6,4,51,1:45 AM,11:22 AM,7:18 AM,8:17 PM,5,10,10,10,7,57,72,1.3,1011,14,10,248,5,83706,1
4/7/2018,15,9,0,10.3,3,44,2:36 AM,12:08 PM,7:16 AM,8:19 PM,5,9,11,9,34,55,65,7.5,1005,15,9,181,22,83706,1
4/8/2018,11,6,0,9.1,2,36,3:24 AM,12:59 PM,7:14 AM,8:20 PM,1,6,8,6,23,74,62,0.9,1015,11,10,263,16,83706,1
4/9/2018,14,2,0,11.6,3,28,4:06 AM,1:54 PM,7:12 AM,8:21 PM,0,8,8,8,7,10,62,0,1024,14,10,133,4,83706,0
4/10/2018,20,8,0,7.8,3,21,4:43 AM,2:52 PM,7:11 AM,8:22 PM,1,11,12,11,25,47,46,0.2,1015,20,9,152,15,83706,1
4/11/2018,15,6,0,9.1,4,13,5:17 AM,3:52 PM,7:09 AM,8:23 PM,3,10,11,10,14,41,62,1.1,1009,15,10,165,8,83706,1
4/12/2018,9,2,0,9.1,2,6,5:48 AM,4:54 PM,7:07 AM,8:25 PM,-2,1,5,1,35,60,60,2.5,1009,9,8,299,26,83706,1
